<매칭 테이블>
oracle table	impala table	oracletable매칭기호	impalatable매칭기호
L	VENDOR_ID	VARCHAR2(40)
L	STEP_DESC	VARCHAR2(50)
L	EQP_TYPE	VARCHAR2(40)
L	PRODUCT_ID	VARCHAR2(40)
L	DETAIL_DESC	VARCHAR2(4000)
L	LOT_HOLD_REASON	VARCHAR2(4000)
L	SPLIT_LOT_QTY	NUMBER(22)
L	CHILD_LOT_ID	VARCHAR2(40)
L	REAL_COMPONENT_QTY	NUMBER(4)
L	EVENT_WAFER_QTY	NUMBER(4)
L	DEST_LINE_ID	VARCHAR2(10)
L	FROM_STEP_SEQ	VARCHAR2(28)
L	TO_PROCESS_UNIT	VARCHAR2(8)
L	PROCESS_UNIT_CHG_YN	VARCHAR2(8)
L	FROM_PROCESS_ID	VARCHAR2(16)
L	FROM_PRODUCT_ID	VARCHAR2(40)
L	FROM_LOT_TYPE	VARCHAR2(4)
L	NEW_LOT_ID	VARCHAR2(40)
L	LOSS_REASON_EQP_ID	VARCHAR2(40)
L	LOSS_COMPONENT_ID_LIST	VARCHAR2(300)
L	CODE_ID	VARCHAR2(30)
L	LOT_ATTR_SUM	VARCHAR2(80)
L	COMPONENT_ID	VARCHAR2(40)
L	CHIP_QTY	NUMBER(8)
L	REAL_CHIP_QTY	NUMBER(8)
L	EVENT_CHIP_QTY	NUMBER(8)
L	FROM_PROCESS_UNIT	VARCHAR2(8)
L	MAP_MARK	VARCHAR2(4)
L	LOT_STATUS_SEG	VARCHAR2(40)
L	FULLAUTO_FLAG	VARCHAR2(40)
L	NPW_CARRIER_ID	VARCHAR2(20)
L	REWORK_MAIN_STEP	VARCHAR2(30)
L	LOT_ATTR_INGOT_ID	VARCHAR2(255)
L	RESERVE_TIME	VARCHAR2(15)
L	BATCH_LOT_ORDER	VARCHAR2(10)
L	EIL_TRANSN_YN	VARCHAR2(1)
L	EIL_MODULE_ID	VARCHAR2(40)
L	EIL_PROC_TYPE	VARCHAR2(40)
L	EIL_PROC_EQP_VALS	VARCHAR2(255)
L	PEG_CS_TYPE	VARCHAR2(40)
L	PEG_WO_TYPE_LIST	VARCHAR2(255)
L	PEG_PURPS_TYPE	VARCHAR2(40)
L	SLOT_ID	VARCHAR2(500)
L	SYS_LINE_ID	VARCHAR2(40)
L	CARR_ID	VARCHAR2(40)
L	WAFER_EVENT_ID	VARCHAR2(45)
L	INV_NAME	VARCHAR2(40)
B	EQP_STATUS_FLAG	CHAR(1)
B	EQP_ID	VARCHAR2(40)
B	SYS_ID	VARCHAR2(45)
B	EQP_STATUS	VARCHAR2(40)
B	BAY_NAME	VARCHAR2(10)
B	EQP_ACT_VERSION	NUMBER(22)
B	EQP_STATUS_CHANGE_TIME	VARCHAR2(18)
B	AREA_NAME	VARCHAR2(12)
B	AUTO_MAN_FLAG	VARCHAR2(2)
B	LAST_UPDATE_DATE	DATE
B	OPERATOR_ID	VARCHAR2(40)
B	EQP_CATEGORY	VARCHAR2(2)
B	EQP_STATUS_CHANGE_REASON_CODE	VARCHAR2(40)
B	LINE_ID	VARCHAR2(10)
B	ORIGIN_LINE_ID	VARCHAR2(10)
B	LAST_TRANSN_SYS_ID	VARCHAR2(45)
B	EQP_MODEL	VARCHAR2(40)
B	EXPO_WORK_USE_FLAG	VARCHAR2(2)
B	SDWT_CODE	VARCHAR2(20)
B	SDWT_DESC	VARCHAR2(150)
B	SDWT_DEPT	VARCHAR2(300)
B	DAY_TKOUT_TARGET_VALUE	VARCHAR2(12)
B	ADS_USE_FLAG	VARCHAR2(10)
B	SIDE_DUMMY_CYCLE_TIME	VARCHAR2(32)
B	ADS_RULE_NAME	VARCHAR2(30)
B	ADS_MAX_BATCH_CAPBLT	NUMBER(15)
B	ADS_BATCH_SIZE	NUMBER(15)
B	ADS_MIN_BATCH	NUMBER(15)
B	RECORD_USE_STATUS_SEG	VARCHAR2(10)
B	EQP_PARENT_SYS_ID	VARCHAR2(45)
B	EQP_ONLINE_FLAG	VARCHAR2(2)
B	BATCH_EQP_SEG	VARCHAR2(16)
B	MAX_BATCH_SIZE	VARCHAR2(2)
B	MIN_BATCH_SIZE	VARCHAR2(2)
B	SUB_EQP_TYPE_SEG	VARCHAR2(16)
B	TKIN_MODE	VARCHAR2(30)
B	ROOM_NAME	VARCHAR2(20)
